"room_type","reviews","overall_sa","bedrooms","price"
"Private room",0,0,1,125
"Entire home/apt",7,4.5,1,129
"Private room",19,4.5,1,130
"Entire home/apt",6,3.5,2,145
"Entire home/apt",5,4.5,1,145
"Private room",1,4,1,150
"Entire home/apt",3,4.5,0,150
"Entire home/apt",1,5,2,150
"Entire home/apt",0,0,0,150
"Private room",0,0,1,150
"Entire home/apt",8,4.5,1,155
"Entire home/apt",5,4,1,159
"Private room",7,4.5,1,159
"Entire home/apt",2,5,1,159
"Entire home/apt",83,4,1,160
"Entire home/apt",86,4.5,NA,160
"Entire home/apt",28,4.5,1,160
"Entire home/apt",0,0,0,160
"Entire home/apt",46,4.5,1,165
"Entire home/apt",16,4.5,0,165
"Entire home/apt",1,5,1,165
"Entire home/apt",0,0,1,165
"Entire home/apt",12,4.5,0,168
"Entire home/apt",17,4.5,1,175
"Entire home/apt",5,4.5,1,175
"Entire home/apt",2,4.5,1,175
"Private room",4,4.5,1,175
"Entire home/apt",2,5,1,175
"Entire home/apt",0,0,0,175
"Entire home/apt",7,4,1,177
"Entire home/apt",0,0,1,177
"Entire home/apt",25,4.5,1,179
"Entire home/apt",16,4,1,180
"Entire home/apt",22,4.5,1,180
"Entire home/apt",11,4.5,1,180
"Entire home/apt",4,4.5,1,180
"Entire home/apt",29,5,0,180
"Private room",1,5,1,180
"Entire home/apt",0,0,1,180
"Private room",0,0,1,180
"Entire home/apt",5,4,1,185
"Entire home/apt",14,4.5,1,185
"Entire home/apt",28,5,2,190
"Entire home/apt",9,4,0,195
"Entire home/apt",41,4.5,2,195
"Entire home/apt",19,4.5,1,195
"Entire home/apt",2,4.5,0,195
"Entire home/apt",7,5,1,195
"Private room",0,0,1,195
"Entire home/apt",9,5,1,198
"Entire home/apt",52,4.5,1,199
"Entire home/apt",5,4.5,1,199
"Entire home/apt",19,4.5,1,200
"Entire home/apt",17,4.5,1,200
"Entire home/apt",7,5,2,200
"Entire home/apt",5,5,1,200
"Entire home/apt",4,5,0,200
"Entire home/apt",2,5,1,200
"Entire home/apt",1,5,2,200
"Entire home/apt",0,0,2,200
"Entire home/apt",2,4.5,1,210
"Entire home/apt",19,4,0,220
"Entire home/apt",12,4.5,0,220
"Entire home/apt",7,4.5,1,225
"Entire home/apt",29,5,1,225
"Entire home/apt",4,5,1,225
"Entire home/apt",13,5,0,229
"Entire home/apt",4,5,1,229
"Entire home/apt",2,5,2,229
"Entire home/apt",15,5,1,243
"Entire home/apt",37,5,1,245
"Entire home/apt",21,5,1,245
"Entire home/apt",14,5,1,245
"Entire home/apt",9,5,1,245
"Entire home/apt",11,4,0,249
"Entire home/apt",3,5,0,249
"Entire home/apt",11,5,2,250
"Entire home/apt",1,5,1,250
"Entire home/apt",0,0,1,250
"Entire home/apt",14,5,1,275
"Entire home/apt",14,4.5,1,285
"Private room",1,4,1,295
"Entire home/apt",12,4.5,2,295
"Entire home/apt",28,5,2,299
"Entire home/apt",5,4.5,1,300
"Entire home/apt",2,5,1,300
"Entire home/apt",5,4,2,305
"Entire home/apt",3,4.5,2,350
"Entire home/apt",9,5,1,350
"Entire home/apt",5,5,2,375
"Entire home/apt",1,5,1,400
"Entire home/apt",7,4.5,4,532
"Entire home/apt",1,5,4,650
"Entire home/apt",3,5,5,749
"Shared room",3,5,1,100
"Entire home/apt",4,5,1,175
"Entire home/apt",0,0,1,350
"Private room",0,0,1,68
"Entire home/apt",0,0,0,178
"Private room",1,5,1,125
"Private room",1,5,1,98
"Entire home/apt",2,4.5,1,275
"Private room",62,5,1,119
"Entire home/apt",6,4.5,1,129
"Entire home/apt",0,0,1,100
"Entire home/apt",0,0,1,269
"Private room",1,5,1,55
"Entire home/apt",133,4.5,1,165
"Entire home/apt",0,0,1,280
"Entire home/apt",0,0,0,115
"Entire home/apt",0,0,0,150
"Entire home/apt",6,5,2,280
"Shared room",1,5,1,109
"Entire home/apt",2,5,1,130
"Private room",3,4,1,160
"Entire home/apt",6,4.5,2,269
"Private room",5,2,1,100
"Private room",1,5,1,135
"Entire home/apt",0,0,1,150
"Entire home/apt",0,0,0,189
"Entire home/apt",3,5,2,380
"Entire home/apt",0,0,2,425
"Entire home/apt",3,4.5,2,200
"Entire home/apt",0,0,2,108
"Private room",2,5,1,50
"Private room",11,5,1,68
"Private room",0,0,1,50
"Private room",17,4.5,1,100
"Entire home/apt",4,4.5,1,119
"Private room",0,0,1,135
"Entire home/apt",12,5,1,169
"Private room",52,5,1,79
"Private room",12,4.5,1,80
"Entire home/apt",1,5,2,199
"Private room",1,0,1,25
"Private room",15,4,1,42
"Private room",4,4.5,1,45
"Private room",3,4.5,1,45
"Private room",2,4.5,1,45
"Private room",25,5,1,45
"Private room",1,5,1,45
"Private room",0,0,1,45
"Private room",9,4.5,1,48
"Private room",3,3,1,50
"Private room",2,4.5,1,50
"Private room",6,5,1,50
"Private room",1,5,1,50
"Private room",0,0,1,50
"Shared room",76,4,1,54
"Private room",8,4,1,55
"Private room",22,5,1,55
"Private room",10,4,1,60
"Private room",10,4,1,60
"Private room",26,4.5,1,60
"Private room",2,5,1,60
"Private room",1,5,1,65
"Private room",0,0,1,65
"Private room",0,0,1,65
"Shared room",29,4,1,67
"Shared room",3,5,1,70
"Private room",0,0,1,70
"Shared room",26,4.5,1,75
"Private room",51,5,1,75
"Private room",3,5,1,75
"Private room",0,0,1,75
"Private room",0,0,1,78
"Private room",13,4.5,1,79
"Private room",10,4.5,1,79
